stock,date,open,close,label_3,label_7,xg3,xg7,log3,log7,open3,close3,open7,close7
NVDA,2017-02-24,97.07,101.46,hold,hold,hold,hold,hold,buy,103.79,102.79,97.67,98.74
NVDA,2017-02-27,102.2,104.41,hold,hold,sell,sell,hold,buy,102.27,99.0,97.91,98.54
NVDA,2017-02-28,104.8,101.48,hold,hold,hold,hold,hold,buy,98.57,98.43,99.61,99.12
NVDA,2017-03-01,103.79,102.79,hold,hold,sell,sell,hold,buy,96.96,97.67,99.54,101.85
NVDA,2017-03-02,102.27,99.0,buy,buy,hold,hold,hold,buy,97.67,98.74,102.37,101.78
NVDA,2017-03-03,98.57,98.43,hold,hold,hold,hold,hold,buy,97.91,98.54,102.25,102.55
NVDA,2017-03-06,96.96,97.67,hold,hold,hold,buy,hold,buy,99.61,99.12,102.98,103.81
NVDA,2017-03-07,97.67,98.74,hold,hold,hold,buy,hold,buy,99.54,101.85,104.52,106.07
NVDA,2017-03-09,97.91,98.54,hold,buy,buy,buy,hold,buy,102.37,101.78,106.78,109.45
NVDA,2017-03-10,99.61,99.12,hold,hold,buy,buy,hold,buy,102.25,102.55,108.75,105.91
NVDA,2017-03-13,99.54,101.85,hold,hold,hold,buy,hold,buy,102.98,103.81,105.46,108.07
NVDA,2017-03-14,102.37,101.78,hold,hold,buy,buy,hold,buy,104.52,106.07,107.75,107.09
NVDA,2017-03-15,102.25,102.55,hold,hold,buy,buy,hold,buy,106.78,109.45,108.97,107.47
NVDA,2017-03-16,102.98,103.81,hold,hold,hold,buy,hold,buy,108.75,105.91,,
NVDA,2017-03-17,104.52,106.07,hold,hold,hold,hold,hold,buy,105.46,108.07,,
NVDA,2017-03-20,106.78,109.45,hold,hold,hold,hold,hold,buy,107.75,107.09,,
NVDA,2017-03-21,108.75,105.91,hold,hold,hold,hold,hold,buy,108.97,107.47,,
NVDA,2017-03-22,105.46,108.07,hold,buy,hold,hold,hold,buy,,,,
NVDA,2017-03-23,107.75,107.09,hold,hold,hold,hold,hold,buy,,,,
NVDA,2017-03-24,108.97,107.47,hold,hold,hold,hold,hold,buy,,,,
PFE,2016-04-25,33.13,33.21,hold,sell,hold,hold,hold,buy,32.87,32.71,33.37,33.57
PFE,2016-04-26,33.2,33.05,hold,buy,hold,hold,hold,buy,32.56,32.8,33.38,33.58
PFE,2016-04-27,32.98,33.0,hold,hold,hold,hold,hold,buy,33.65,33.7,33.54,33.82
PFE,2016-04-29,32.87,32.71,hold,sell,hold,hold,hold,buy,33.67,33.4,33.83,33.81
PFE,2016-05-02,32.56,32.8,hold,hold,hold,buy,hold,buy,33.37,33.57,33.46,33.16
PFE,2016-05-03,33.65,33.7,hold,hold,hold,hold,hold,buy,33.38,33.58,33.22,33.19
PFE,2016-05-04,33.67,33.4,buy,buy,hold,hold,hold,buy,33.54,33.82,33.33,33.19
PFE,2016-05-05,33.37,33.57,hold,hold,hold,hold,hold,buy,33.83,33.81,32.93,33.38
PFE,2016-05-06,33.38,33.58,hold,hold,hold,hold,hold,buy,33.46,33.16,33.27,33.03
PFE,2016-05-09,33.54,33.82,hold,hold,hold,hold,hold,buy,33.22,33.19,33.16,33.38
PFE,2016-05-10,33.83,33.81,buy,hold,hold,hold,hold,buy,33.33,33.19,33.48,33.74
PFE,2016-05-11,33.46,33.16,hold,hold,hold,hold,hold,buy,32.93,33.38,33.83,33.67
PFE,2016-05-12,33.22,33.19,hold,sell,hold,hold,hold,buy,33.27,33.03,33.69,34.1
PFE,2016-05-13,33.33,33.19,hold,hold,hold,hold,hold,buy,33.16,33.38,34.26,34.43
PFE,2016-05-16,32.93,33.38,hold,buy,hold,hold,hold,buy,33.48,33.74,,
PFE,2016-05-17,33.27,33.03,sell,sell,hold,buy,hold,buy,33.83,33.67,,
PFE,2016-05-19,33.16,33.38,hold,hold,hold,buy,hold,buy,33.69,34.1,,
PFE,2016-05-20,33.48,33.74,hold,hold,hold,hold,hold,buy,34.26,34.43,,
PFE,2016-05-23,33.83,33.67,hold,hold,hold,buy,hold,buy,,,,
PFE,2016-05-24,33.69,34.1,sell,sell,hold,hold,hold,buy,,,,
PFE,2016-05-26,34.26,34.43,hold,hold,hold,hold,hold,buy,,,,
